postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42355,3602092017,36,2,9,2017
15570,3603152005,36,3,15,2005
42278,3601142009,36,1,14,2009
42266,3601242010,36,1,24,2010
42426,3672011003,36,72,1,1003
42161,3604052008,36,4,5,2008
42396,3602212012,36,2,21,2012
42254,3601322004,36,1,32,2004
15531,3603082012,36,3,8,2012
42396,3602212005,36,2,21,2005
42382,3602132018,36,2,13,2018
42390,3602022011,36,2,2,2011
15320,3674021007,36,74,2,1007
42312,3602142011,36,2,14,2011
42454,3604072010,36,4,7,2010
42265,3601092011,36,1,9,2011
42286,3601042010,36,1,4,2010
15310,3674011008,36,74,1,1008
15138,3671091003,36,71,9,1003
42356,3602172010,36,2,17,2010
42453,3604062001,36,4,6,2001
42262,3601132004,36,1,13,2004
42172,3604192013,36,4,19,2013
42356,3602172003,36,2,17,2003
42164,3604272009,36,4,27,2009
15157,3671121005,36,71,12,1005
42175,3604232006,36,4,23,2006
42361,3602112005,36,2,11,2005
42391,3602012024,36,2,1,2024
15154,3671131002,36,71,13,1002
42394,3602192001,36,2,19,2001
42179,3604242010,36,4,24,2010
42396,3602212002,36,2,21,2002
42275,3601082018,36,1,8,2018
42282,3601052001,36,1,5,2001
42125,3673051002,36,73,5,1002
15721,3603032014,36,3,3,2014
42260,3601122003,36,1,12,2003
15115,3671071002,36,71,7,1002
42381,3602232008,36,2,23,2008
15611,3603022006,36,3,2,2006
15621,3603062001,36,3,6,2001
42284,3601022002,36,1,2,2002
42279,3601302005,36,1,30,2005
42250,3601332005,36,1,33,2005
15610,3603012013,36,3,1,2013
15414,3674041006,36,74,4,1006
15610,3603012011,36,3,1,2011
42287,3601272009,36,1,27,2009
42173,3604222009,36,4,22,2009
42372,3602042020,36,2,4,2020
42192,3604122010,36,4,12,2010
15612,3603272006,36,3,27,2006
42271,3601262007,36,1,26,2007
42196,3604182007,36,4,18,2007
42262,3601132015,36,1,13,2015
15124,3671041002,36,71,4,1002
